DAY,HOUR,PJME,PJMW,COMED,DAYTON,AEP,DUQ,DOM,FE,DEOK,EKPC
12/31/15,100,24305,4530,10419,1707,12415,1321,7954,6608,2672,1339
12/31/15,200,23156,4383,9893,1652,12087,1276,7605,6347,2587,1276
12/31/15,300,22514,4299,9544,1631,12010,1243,7434,6228,2537,1307
12/31/15,400,22330,4338,9341,1618,11972,1240,7385,6195,2519,1302
12/31/15,500,22773,4427,9318,1641,12081,1275,7558,6222,2566,1278
12/31/15,600,24106,4616,9507,1707,12693,1330,8023,6432,2675,1299
12/31/15,700,26129,4933,9992,1821,13373,1416,8647,6820,2834,1396
12/31/15,800,27660,5125,10692,1920,14090,1493,9116,7190,2958,1463
12/31/15,900,28461,5338,10984,1970,14397,1540,9396,7366,3036,1483
12/31/15,1000,29195,5399,11162,2016,14643,1588,9665,7516,3109,1528
12/31/15,1100,29459,5454,11289,2062,14824,1637,9778,7663,3188,1570
12/31/15,1200,29461,5452,11306,2072,14813,1635,9806,7720,3251,1604
12/31/15,1300,29195,5461,11273,2070,14727,1630,9724,7726,3259,1581
12/31/15,1400,28902,5399,11196,2072,14657,1626,9645,7675,3268,1610
12/31/15,1500,28740,5409,11229,2058,14581,1605,9586,7603,3274,1596
12/31/15,1600,29048,5438,11226,2048,14530,1602,9646,7585,3280,1602
12/31/15,1700,30774,5686,11286,2081,14769,1640,10067,7747,3320,1677
12/31/15,1800,33130,6009,11937,2157,15353,1708,10858,8109,3437,1743
12/31/15,1900,32732,5984,12564,2137,15360,1692,10779,8068,3398,1772
12/31/15,2000,31564,5873,12297,2057,15030,1646,10415,7800,3298,1698
12/31/15,2100,30404,5670,11944,1982,14642,1605,10043,7596,3199,1679
12/31/15,2200,29210,5466,11607,1925,14212,1552,9654,7331,3110,1605
12/31/15,2300,27944,5289,11277,1851,13843,1484,9235,7087,2975,1560
12/31/15,2400,26686,5125,10802,1793,13487,1425,8871,6846,2833,1546
12/30/15,100,24845,4746,10309,1688,12665,1332,8119,6597,2598,1319
12/30/15,200,23791,4586,9794,1632,12291,1291,7780,6404,2539,1291
12/30/15,300,23249,4565,9477,1606,12252,1263,7602,6285,2492,1279
12/30/15,400,23077,4538,9300,1599,12128,1252,7563,6216,2488,1290
12/30/15,500,23598,4637,9260,1621,12203,1267,7758,6299,2543,1315
12/30/15,600,25127,4789,9488,1708,12835,1346,8270,6583,2658,1383
12/30/15,700,27438,5133,10061,1837,13617,1425,8996,7101,2839,1445
12/30/15,800,29159,5332,10921,1951,14413,1507,9474,7524,3001,1508
12/30/15,900,29948,5479,11486,1985,14679,1548,9684,7695,3042,1525
12/30/15,1000,30649,5510,11670,2009,14800,1587,9888,7744,3092,1520
12/30/15,1100,31117,5529,11771,2041,14917,1606,9990,7904,3122,1499
12/30/15,1200,31223,5508,11854,2046,14930,1624,10008,7909,3138,1474
12/30/15,1300,31050,5392,11865,2039,14873,1603,10026,7876,3130,1457
12/30/15,1400,30985,5398,11837,2027,14710,1594,10052,7862,3107,1446
12/30/15,1500,30822,5306,11897,2016,14573,1566,10037,7797,3098,1423
12/30/15,1600,30913,5384,11851,2001,14400,1564,10073,7702,3097,1444
12/30/15,1700,32260,5534,11870,2035,14616,1598,10381,7751,3136,1472
12/30/15,1800,33851,5785,12459,2123,15226,1688,10954,8258,3288,1582
12/30/15,1900,33477,5828,13039,2140,15260,1695,10807,8307,3321,1606
12/30/15,2000,32674,5702,12781,2106,15134,1657,10546,8173,3262,1596
12/30/15,2100,31800,5588,12562,2064,14891,1621,10247,8059,3210,1509
12/30/15,2200,30323,5447,12281,1997,14455,1575,9798,7799,3125,1483
12/30/15,2300,28311,5088,11843,1890,13796,1495,9172,7404,2997,1504
12/30/15,2400,26101,4801,11168,1781,13123,1406,8508,6929,2818,1383
12/29/15,100,26443,5001,10199,1597,12597,1383,8803,6702,2502,1070
12/29/15,200,25308,4838,9664,1526,12199,1312,8456,6389,2410,965
12/29/15,300,24727,4744,9309,1491,12010,1281,8257,6245,2335,1019
12/29/15,400,24532,4705,9168,1496,11850,1272,8195,6149,2335,1042
12/29/15,500,24964,4769,9174,1527,12016,1289,8384,6213,2371,1082
12/29/15,600,26435,4925,9393,1609,12581,1340,8897,6458,2499,1160
12/29/15,700,28559,5212,10002,1745,13419,1448,9624,6920,2708,1264
12/29/15,800,30275,5373,10851,1868,14165,1524,10127,7343,2856,1317
12/29/15,900,31006,5502,11338,1899,14355,1557,10342,7542,2904,1359
12/29/15,1000,31659,5557,11519,1939,14504,1585,10446,7680,2952,1363
12/29/15,1100,31938,5558,11691,1983,14607,1584,10508,7870,3015,1410
12/29/15,1200,31799,5599,11834,2005,14690,1629,10409,7895,3036,1429
12/29/15,1300,31528,5563,11843,2010,14621,1622,10256,7883,3049,1441
12/29/15,1400,31253,5510,11851,2011,14439,1621,10107,7910,3062,1386
12/29/15,1500,30967,5423,11873,2004,14316,1602,9970,7823,3040,1407
12/29/15,1600,30911,5389,11847,2004,14183,1599,9905,7817,3020,1392
12/29/15,1700,32074,5512,11902,2019,14370,1626,10074,7895,3086,1420
12/29/15,1800,34242,5868,12520,2105,15069,1714,10906,8267,3262,1533
12/29/15,1900,33984,5903,12973,2135,15320,1700,11002,8351,3291,1591
12/29/15,2000,33248,5879,12707,2095,15322,1672,10780,8216,3243,1573
12/29/15,2100,32305,5820,12464,2086,14943,1640,10448,8111,3166,1612
12/29/15,2200,30888,5618,12204,1987,14549,1586,9957,7877,3076,1510
12/29/15,2300,28803,5274,11773,1879,13918,1498,9308,7441,2936,1479
12/29/15,2400,26625,4963,11045,1765,13219,1419,8644,6961,2750,1411
12/28/15,100,22839,4193,9714,1618,11602,1310,7569,6340,2502,1140
12/28/15,200,22038,4137,9346,1570,11485,1260,7224,6157,2440,1101
12/28/15,300,21748,4146,9077,1557,11333,1247,7029,6099,2409,1082
12/28/15,400,21909,4192,9004,1553,11437,1244,6993,6088,2415,1085
12/28/15,500,22680,4351,9041,1591,11708,1273,7192,6189,2478,1122
12/28/15,600,24455,4603,9341,1703,12388,1341,7746,6489,2631,1224
12/28/15,700,27009,4998,10054,1842,13488,1460,8462,7131,2867,1318
12/28/15,800,28935,5341,11018,1990,14436,1533,9071,7652,3041,1396
12/28/15,900,29965,5492,11720,2074,14839,1573,9444,7824,3153,1441
12/28/15,1000,30718,5652,12063,2121,15096,1611,9858,8032,3225,1470
12/28/15,1100,31073,5767,12280,2147,15523,1670,10178,8257,3338,1498
12/28/15,1200,31213,5815,12568,2184,15608,1683,10339,8366,3356,1502
12/28/15,1300,31293,5796,12678,2191,15710,1704,10407,8429,3354,1471
12/28/15,1400,31427,5788,12724,2181,15724,1701,10419,8498,3359,1423
12/28/15,1500,31572,5768,12727,2196,15485,1685,10398,8481,3300,1430
12/28/15,1600,31922,5838,12651,2153,15439,1679,10498,8450,3305,1417
12/28/15,1700,33634,6038,12720,2171,15595,1699,11060,8581,3341,1414
12/28/15,1800,35712,6370,13195,2250,16134,1786,11797,8908,3458,1511
12/28/15,1900,35534,6355,13398,2231,16113,1802,11750,8911,3451,1540
12/28/15,2000,34938,6281,13068,2167,15857,1740,11562,8777,3342,1509
12/28/15,2100,34059,6142,12738,2081,15553,1699,11266,8566,3226,1448
12/28/15,2200,32592,5964,12361,1966,14844,1649,10798,8217,3072,1365
12/28/15,2300,30468,5648,11797,1829,14018,1560,10110,7718,2904,1280
12/28/15,2400,28310,5274,10920,1693,13299,1459,9347,7185,2679,1136
