observation_id,choice,total_travel_time_walk_transit_walk,total_travel_time_drive_alone,total_travel_cost_walk_transit_walk,total_travel_cost_drive_alone
1,drive_alone,83.56,20.97,5.84,1.6817
2,drive_alone,87.38,22.16,4.83,1.6817
7,drive_alone,86.89,32.07,3.22,1.7501
9,walk_transit_walk,54.13,21.93,3.22,0.9
11,drive_alone,49.12,22.33,3.22,0.8334
15,walk_transit_walk,50.26,13.87,3.22,0.7244
16,walk_transit_walk,50.26,13.87,3.22,0.7244
17,walk_transit_walk,66.25,22.39,3.22,1.4599
18,walk_transit_walk,64.2,21.11,3.22,1.0441
19,walk_transit_walk,161.0,24.02,3.22,1.8462
20,walk_transit_walk,161.0,24.02,3.22,1.8462
21,drive_alone,55.78,14.29,3.22,0.6764
26,drive_alone,76.98,19.2,3.22,1.216
27,walk_transit_walk,177.03,54.66,11.62,11.0755
28,drive_alone,133.2,38.38,3.22,3.0362
29,walk_transit_walk,49.18,23.37,2.82,1.2382
30,walk_transit_walk,44.96,23.17,3.22,1.0219
36,drive_alone,25.0,11.62,3.22,0.3918
39,walk_transit_walk,67.66,24.97,3.22,1.3084
40,drive_alone,84.18,15.82,3.22,0.826
42,drive_alone,54.94,22.38,3.22,0.9221
43,walk_transit_walk,71.08,44.13,4.98,7.2535
46,drive_alone,77.28,24.95,3.22,1.6337
53,drive_alone,113.2,24.83,3.22,1.8499
54,drive_alone,119.93,24.49,6.84,2.1344
56,drive_alone,98.95,33.16,3.22,3.3079
59,drive_alone,65.47,25.85,3.22,1.3841
62,walk_transit_walk,153.91,53.52,8.64,8.6486
64,walk_transit_walk,62.69,19.84,3.22,0.7873
65,drive_alone,48.58,13.66,3.22,0.5508
68,drive_alone,106.78,25.32,3.21,1.7501
69,walk_transit_walk,103.09,38.43,3.22,1.9183
72,walk_transit_walk,49.16,10.17,3.22,0.3918
73,drive_alone,66.44,16.6,3.22,1.1272
77,walk_transit_walk,123.32,34.82,6.39,7.1906
79,drive_alone,64.54,14.64,3.22,0.7558
87,drive_alone,83.31,25.07,3.22,1.349
89,drive_alone,95.33,24.29,3.22,1.5246
94,drive_alone,88.67,31.02,7.68,8.1759
95,walk_transit_walk,67.1,17.45,3.22,0.5544
96,walk_transit_walk,61.66,17.47,3.22,0.5526
100,walk_transit_walk,63.5,27.81,2.82,1.896
105,drive_alone,131.94,51.21,11.34,9.4119
106,walk_transit_walk,113.43,34.89,5.84,2.4597
108,walk_transit_walk,61.15,32.31,5.3,6.6491
110,drive_alone,122.63,49.0,8.64,9.3269
111,drive_alone,38.03,14.85,3.22,0.5599
113,walk_transit_walk,42.61,7.7,3.22,0.2994
115,walk_transit_walk,131.7,42.34,8.24,8.3918
119,drive_alone,68.46,17.01,3.22,0.8501
121,drive_alone,92.04,19.47,1.61,1.0996
124,drive_alone,47.1,15.43,3.22,0.754
126,walk_transit_walk,64.23,24.24,3.22,1.0349
129,walk_transit_walk,84.05,43.65,8.0,8.8652
133,drive_alone,67.47,15.25,3.22,0.9572
135,walk_transit_walk,97.21,42.33,5.86,7.575
138,drive_alone,80.84,20.26,3.22,0.9204
139,walk_transit_walk,98.84,18.86,1.81,1.349
142,walk_transit_walk,87.8,42.66,3.22,2.8256
147,walk_transit_walk,45.03,20.81,3.02,0.7762
148,drive_alone,68.64,19.05,3.22,1.1124
149,drive_alone,96.9,27.49,3.22,1.7372
152,drive_alone,57.58,27.11,2.82,1.6447
153,drive_alone,92.85,22.56,3.22,1.3528
154,walk_transit_walk,66.57,29.26,2.82,2.4098
157,walk_transit_walk,68.81,21.96,3.22,0.924
158,walk_transit_walk,127.0,39.26,3.22,2.8588
159,drive_alone,79.4,22.1,3.22,1.0977
160,drive_alone,74.76,12.4,3.62,0.7688
164,walk_transit_walk,79.57,34.23,3.22,2.2915
166,walk_transit_walk,86.96,38.48,5.84,2.9124
171,drive_alone,157.18,29.52,3.42,2.1658
175,drive_alone,124.93,32.5,3.22,2.7905
176,drive_alone,126.05,29.92,3.22,2.2102
180,drive_alone,47.85,18.37,3.22,1.0866
183,walk_transit_walk,62.72,25.41,3.22,1.2049
187,walk_transit_walk,158.07,38.11,5.7,8.2791
188,walk_transit_walk,99.22,30.41,4.43,1.8202
189,drive_alone,58.02,16.62,3.22,0.887
190,drive_alone,57.11,10.44,3.22,0.3104
191,drive_alone,57.62,10.51,3.22,0.3104
194,walk_transit_walk,75.55,23.78,3.22,1.1199
195,drive_alone,105.26,21.75,3.22,1.3619999999999999
197,drive_alone,104.09,23.89,4.43,2.2139
198,drive_alone,62.83,10.67,3.22,0.4398
200,drive_alone,82.1,28.97,3.22,1.6078
202,walk_transit_walk,97.0,32.02,3.22,1.7667
203,walk_transit_walk,90.31,38.7,8.0,6.9079
206,walk_transit_walk,107.08,24.7,3.22,2.7277
208,walk_transit_walk,100.8,48.85,7.55,7.5953
210,drive_alone,71.6,23.83,3.22,1.556
215,drive_alone,91.0,27.0,3.22,1.5653
216,walk_transit_walk,60.4,27.41,3.22,1.4488
217,drive_alone,33.06,7.91,3.22,0.2698
218,drive_alone,47.64,7.92,3.22,0.2698
222,walk_transit_walk,71.1,20.07,3.22,1.2788
223,drive_alone,106.9,22.86,3.22,1.2381
225,walk_transit_walk,92.61,25.49,4.83,1.7002
227,drive_alone,52.71,20.34,3.42,0.9056
233,drive_alone,99.11,33.26,5.84,2.3155
234,drive_alone,66.51,25.96,3.22,1.4322
235,drive_alone,96.13,24.26,3.22,1.6780000000000002
237,drive_alone,97.7,26.77,3.22,1.8942
239,walk_transit_walk,55.13,21.97,3.22,0.8685
242,drive_alone,49.84,15.16,3.42,0.8574
243,walk_transit_walk,68.75,30.74,2.82,2.1104
244,drive_alone,48.06,12.96,3.22,0.6764
247,walk_transit_walk,72.44,24.56,3.22,1.8924
251,walk_transit_walk,66.35,33.56,5.3,6.7693
252,drive_alone,46.51,9.0,1.61,0.39
255,walk_transit_walk,88.57,52.37,6.87,7.2035
256,walk_transit_walk,117.93,35.84,8.64,7.4327
262,drive_alone,52.2,12.51,3.22,0.6024
267,walk_transit_walk,58.87,27.3,3.22,1.4285
268,drive_alone,88.16,24.38,4.63,1.8148
269,drive_alone,72.34,30.63,3.22,1.8184
272,drive_alone,95.39,24.76,3.22,1.4340000000000002
273,walk_transit_walk,85.2,30.63,3.22,1.7205
274,walk_transit_walk,66.97,24.94,2.82,2.2675
277,drive_alone,37.25,7.26,3.22,0.3104
279,walk_transit_walk,33.07,16.45,3.22,0.5434
287,walk_transit_walk,73.2,23.88,4.43,1.2271
288,walk_transit_walk,124.5,38.3,6.1,7.8374
294,walk_transit_walk,38.16,22.02,3.22,0.9424
295,walk_transit_walk,63.68,29.9,4.66,6.6177
296,walk_transit_walk,76.37,29.58,4.66,6.6658
297,walk_transit_walk,28.07,15.93,3.22,0.5119
298,drive_alone,61.47,18.38,3.22,1.0016
305,drive_alone,67.81,23.99,3.22,1.2326
307,drive_alone,61.07,20.64,3.22,0.9073
318,walk_transit_walk,67.67,30.83,3.22,1.7593
321,drive_alone,106.78,25.32,3.21,1.7501
322,walk_transit_walk,43.27,18.71,5.63,0.5895
323,drive_alone,107.32,30.14,3.22,2.2102
324,walk_transit_walk,92.43,33.39,8.0,7.0631
325,drive_alone,56.07,13.77,2.82,0.595
326,drive_alone,43.31,13.58,3.22,0.4176
328,drive_alone,96.03,21.26,3.22,1.4969
329,drive_alone,74.18,23.17,5.84,1.131
330,drive_alone,112.45,32.76,8.32,8.3164
331,walk_transit_walk,56.07,20.53,3.02,0.948
333,drive_alone,71.1,25.18,3.22,1.2493
334,drive_alone,100.0,31.61,4.63,2.0051
338,drive_alone,137.19,24.45,1.61,2.2934
339,drive_alone,136.86,28.85,4.43,3.0289
345,drive_alone,69.43,25.6,3.22,1.3361
349,drive_alone,78.24,25.34,3.22,1.7593
350,walk_transit_walk,116.47,48.83,7.71,9.9611
351,drive_alone,95.77,31.83,3.22,1.7926
354,drive_alone,88.39,25.84,3.22,1.4137
355,drive_alone,105.02,23.81,4.83,2.2915
357,drive_alone,158.9,51.53,8.96,8.9314
362,drive_alone,61.47,21.27,5.63,0.9572
364,drive_alone,44.4,15.83,3.02,0.7134
365,drive_alone,65.07,26.97,3.22,2.0124
366,drive_alone,111.05,45.84,8.0,9.1406
369,walk_transit_walk,102.28,34.56,7.31,6.7674
