DAY,HOUR,PJME,PJMW,COMED,DAYTON,AEP,DUQ,DOM,FE,DEOK,EKPC
12/31/14,100,30795,6088,11633,1912,15993,1562,12337,7547,3067,1882
12/31/14,200,29995,6010,11139,1875,15780,1550,12267,7334,3024,1845
12/31/14,300,29688,5991,10871,1866,15769,1545,12345,7196,3021,1902
12/31/14,400,29767,6051,10735,1883,15738,1546,12589,7153,3031,1894
12/31/14,500,30426,6177,10714,1910,15993,1539,13046,7305,3111,1927
12/31/14,600,32147,6351,10886,2004,16635,1574,13771,7539,3249,2061
12/31/14,700,34613,6733,11404,2133,17476,1680,14379,8042,3445,2122
12/31/14,800,35973,6964,12098,2250,18170,1777,14735,8346,3621,2244
12/31/14,900,36253,7047,12409,2272,18359,1788,14573,8367,3667,2219
12/31/14,1000,35998,6999,12526,2268,18173,1844,14233,8408,3650,2175
12/31/14,1100,35617,6942,12620,2267,17771,1860,13627,8492,3623,2075
12/31/14,1200,35092,6808,12672,2233,17365,1861,13058,8461,3551,1992
12/31/14,1300,34428,6646,12608,2185,17051,1825,12509,8372,3489,1917
12/31/14,1400,33945,6544,12441,2139,16668,1791,12066,8140,3421,1821
12/31/14,1500,33549,6410,12281,2093,16350,1763,11875,8038,3341,1689
12/31/14,1600,33734,6368,12123,2054,16182,1771,11878,7941,3276,1700
12/31/14,1700,35547,6517,12081,2080,16518,1806,12449,8138,3316,1790
12/31/14,1800,39029,7140,12851,2228,17693,1964,13850,8757,3587,1991
12/31/14,1900,38906,7213,13663,2292,18161,1963,14057,8923,3686,2085
12/31/14,2000,37772,7103,13419,2235,17865,1915,13987,8732,3615,2083
12/31/14,2100,36602,6965,13067,2168,17568,1847,13759,8506,3520,2044
12/31/14,2200,35326,6787,12672,2114,17295,1825,13454,8224,3434,2086
12/31/14,2300,34003,6553,12244,2053,16941,1709,13140,7985,3347,2019
12/31/14,2400,32802,6365,11774,2001,16375,1656,12792,7696,3262,2029
12/30/14,100,28113,5631,10988,1881,14783,1500,10054,7550,2971,1687
12/30/14,200,27215,5547,10521,1842,14568,1473,9824,7387,2893,1694
12/30/14,300,26899,5523,10264,1811,14432,1455,9774,7210,2851,1700
12/30/14,400,26889,5528,10114,1805,14451,1462,9918,7187,2858,1718
12/30/14,500,27605,5677,10150,1841,14788,1471,10262,7274,2910,1789
12/30/14,600,29394,5931,10432,1921,15368,1535,11005,7596,3035,1861
12/30/14,700,32092,6279,11105,2071,16397,1630,11883,8121,3266,1979
12/30/14,800,33954,6601,12020,2196,17307,1687,12479,8617,3458,2058
12/30/14,900,34728,6662,12496,2224,17518,1736,12611,8706,3471,2064
12/30/14,1000,35188,6698,12593,2221,17594,1764,12722,8738,3474,2015
12/30/14,1100,35165,6551,12687,2205,17392,1759,12740,8817,3427,1907
12/30/14,1200,34664,6464,12708,2174,17076,1744,12436,8793,3365,1794
12/30/14,1300,33836,6282,12651,2130,16744,1772,12163,8765,3297,1753
12/30/14,1400,33214,6154,12541,2107,16720,1750,11901,8777,3235,1679
12/30/14,1500,32899,6077,12490,2075,16514,1732,11719,8675,3236,1609
12/30/14,1600,33121,6094,12405,2056,16251,1741,11721,8610,3197,1582
12/30/14,1700,34850,6240,12460,2104,16571,1769,12207,8792,3282,1623
12/30/14,1800,38265,6867,13201,2237,17582,1887,13365,9252,3477,1779
12/30/14,1900,38653,7067,14012,2310,18219,1922,13813,9393,3612,1968
12/30/14,2000,38277,7128,13869,2271,18154,1923,13860,9265,3585,1983
12/30/14,2100,37751,7093,13705,2244,18018,1888,13814,9129,3544,2020
12/30/14,2200,36533,6932,13503,2181,17752,1838,13576,8820,3474,1980
